GO	x2	list1InGO	list1OutGO	list2InGO	list2OutGO
GO:0000075	 0.305566463079894 	1	17	135	18552
GO:0000082	 0.119938533312541 	1	17	77	18610
GO:0000084	 0.188380153433881 	1	17	98	18589
GO:0000122	 0.988222713885479 	1	17	508	18179
GO:0000166	 0.95547657617301 	3	15	2511	16176
GO:0000216	 0.0855920734831787 	1	17	66	18621
GO:0000226	 0.553203623475002 	1	17	230	18457
GO:0000268	 1.81003982250723e-09 	1	17	6	18681
GO:0000280	 0.355702340313145 	1	17	152	18535
GO:0000287	 0.450638172435353 	1	17	187	18500
GO:0000729	 0.0438787564749893 	1	17	51	18636
GO:0000737	 0.113556044988606 	1	17	75	18612
GO:0000738	 0.0489275404555629 	1	17	53	18634
GO:0000808	 5.65554029366624e-07 	1	17	9	18678
GO:0001071	 0.999999999999995 	1	17	874	17813
GO:0001882	 0.591584167948427 	3	15	1883	16804
GO:0001883	 0.584286298992427 	3	15	1871	16816
GO:0002065	 0.0220385540599163 	1	17	41	18646
GO:0002528	 2.09804400561763e-20 	1	17	2	18685
GO:0003006	 0.781158245467512 	1	17	352	18335
GO:0003008	 0.999999999999993 	1	17	1320	17367
GO:0003013	 0.185108765818747 	1	17	97	18590
GO:0003018	 0.104080221929093 	1	17	72	18615
GO:0003674	 0.863975502572427 	16	2	15819	2868
GO:0003676	 0.400015282183386 	5	13	3263	15424
GO:0003677	 0.0495120425494583 	5	13	1996	16691
GO:0003700	 0.999999999999994 	1	17	872	17815
GO:0003779	 0.781158245467512 	1	17	352	18335
GO:0003824	 0.999999999999914 	6	12	5839	12848
GO:0003924	 0.638829185153789 	1	17	271	18416
GO:0004175	 0.0842478723387805 	2	16	423	18264
GO:0004197	 0.0651263181573421 	1	17	59	18628
GO:0004221	 0.0737219978586875 	1	17	62	18625
GO:0004222	 0.277981300790749 	1	17	126	18561
GO:0004427	 7.59767720673356e-11 	1	17	5	18682
GO:0004518	 0.50728401345317 	1	17	210	18477
GO:0004519	 0.341230549400685 	1	17	147	18540
GO:0004672	 0.999999999999151 	1	17	631	18056
GO:0004674	 0.90514842868985 	1	17	439	18248
GO:0004683	 0.000241619455370796 	1	17	17	18670
GO:0004687	 1.22722059363746e-15 	1	17	3	18684
GO:0004803	 0.0300224082012357 	1	17	45	18642
GO:0004843	 0.020219586473554 	1	17	40	18647
GO:0005048	 0.00052259505036719 	1	17	19	18668
GO:0005198	 0.999999999999993 	1	17	802	17885
GO:0005488	 0.0355904188356854 	16	2	11598	7089
GO:0005515	 0.155190347863691 	10	8	6844	11843
GO:0005524	 0.943094738546164 	2	16	1472	17215
GO:0005525	 0.889457073219377 	1	17	427	18260
GO:0005575	 0.999999999999969 	16	2	17048	1639
GO:0005622	 0.984841138478253 	1	17	505	18182
GO:0005634	 0.815717008914886 	3	15	2260	16427
GO:0005654	 0.945109501759689 	1	17	471	18216
GO:0005664	 5.65554029366624e-07 	1	17	9	18678
GO:0005667	 0.999999999999786 	1	17	1227	17460
GO:0005730	 0.999999999999495 	1	17	1288	17399
GO:0005737	 0.121536706544129 	5	13	2391	16296
GO:0005739	 0.513331439337053 	2	16	930	17757
GO:0005759	 0.372764540636574 	1	17	158	18529
GO:0005768	 0.640788588512485 	1	17	272	18415
GO:0005794	 0.999999999999995 	1	17	532	18155
GO:0005829	 0.841449822766432 	1	17	1819	16868
GO:0005856	 0.999999999999974 	1	17	539	18148
GO:0005874	 6.93498943653919e-05 	3	15	318	18369
GO:0005886	 0.827867655898309 	2	16	2945	15742
GO:0005929	 0.323561613568619 	1	17	141	18546
GO:0005932	 0.041429482217588 	1	17	50	18637
GO:0006082	 0.985660814831845 	2	16	1535	17152
GO:0006091	 0.890780212030939 	1	17	428	18259
GO:0006119	 0.0300224082012357 	1	17	45	18642
GO:0006139	 0.565290854867062 	4	14	2737	15950
GO:0006152	 0.838382918823695 	1	17	390	18297
GO:0006163	 0.999999999999246 	1	17	560	18127
GO:0006184	 0.562041224548392 	1	17	234	18453
GO:0006195	 0.859601208670752 	1	17	405	18282
GO:0006259	 0.0297633864550727 	3	15	733	17954
GO:0006260	 0.34704687991111 	1	17	149	18538
GO:0006281	 0.773226173032119 	1	17	347	18340
GO:0006282	 0.204694350624213 	1	17	103	18584
GO:0006308	 0.296448925609489 	1	17	132	18555
GO:0006310	 0.485628535203589 	1	17	201	18486
GO:0006313	 0.0300224082012357 	1	17	45	18642
GO:0006355	 0.996374688377438 	3	15	2588	16099
GO:0006357	 0.999999999999956 	1	17	1197	17490
GO:0006399	 0.287253263709171 	1	17	129	18558
GO:0006418	 0.0463788259901324 	1	17	52	18635
GO:0006457	 0.519042727969437 	1	17	215	18472
GO:0006458	 0.032184442793089 	1	17	46	18641
GO:0006461	 0.428247716601537 	2	16	835	17852
GO:0006464	 0.999999999999947 	2	16	2038	16649
GO:0006468	 0.999999999999596 	1	17	554	18133
GO:0006508	 0.415598544174947 	2	16	821	17866
