Pathway_ID	Pathway_term	Pvalue	FDR	Number_significant_genes_in_pathway	significant_genes_in_pathway
bta00230	Purine metabolism	2.902E-01	4.063E-01	3	NUDT5,PDE7B,PNP
bta05160	Hepatitis C	5.437E-02	2.357E-01	4	PPP2R1A,IFNAR1,NFKB1,LOC616695
bta04146	Peroxisome	2.160E-01	3.415E-01	2	ACSL3,MPV17L
bta03320	PPAR signaling pathway	4.401E-02	2.357E-01	3	LOC538702,ACSL3,PLIN5
bta05100	Bacterial invasion of epithelial cells	2.043E-01	3.345E-01	2	CAV1,CAV2
bta04611	Platelet activation	3.658E-01	4.704E-01	2	LYN,VASP
bta05142	Chagas disease (American trypanosomiasis)	7.050E-03	1.727E-01	5	PPP2R1A,TLR4,IFNGR2,NFKB1,LOC616695
bta05166	HTLV-I infection	7.772E-01	7.852E-01	2	PCNA,NFKB1
bta04020	Calcium signaling pathway	5.980E-01	6.512E-01	2	ERBB4,EDNRA
bta04270	Vascular smooth muscle contraction	3.696E-01	4.704E-01	2	EDNRA,CYP4A11
bta05133	Pertussis	1.848E-01	3.293E-01	2	TLR4,NFKB1
bta03040	Spliceosome	1.592E-01	3.059E-01	3	U2AF2,LSM4,ACIN1
bta04062	Chemokine signaling pathway	1.351E-01	2.817E-01	4	LYN,CCL28,NFKB1,PARD3
bta04151	PI3K-Akt signaling pathway	7.827E-02	2.357E-01	7	KDR,PPP2R1A,TLR4,PPP2R5C,IFNAR1,NFKB1,LOC616695
bta04974	Protein digestion and absorption	6.196E-02	2.357E-01	3	COL5A3,ACE2,COL13A1
bta05145	Toxoplasmosis	1.341E-01	2.817E-01	3	TLR4,IFNGR2,NFKB1
bta03420	Nucleotide excision repair	8.417E-02	2.357E-01	2	ERCC1,PCNA
bta04014	Ras signaling pathway	4.575E-01	5.468E-01	3	KDR,RASAL2,NFKB1
bta04668	TNF signaling pathway	3.190E-01	4.283E-01	2	NFKB1,BCL3
bta04510	Focal adhesion	6.872E-02	2.357E-01	5	KDR,PARVA,CAV1,VASP,CAV2
bta05200	Pathways in cancer	9.278E-01	9.278E-01	2	EDNRA,NFKB1
bta04145	Phagosome	2.440E-01	3.516E-01	3	DYNC1H1,TLR4,TUBB3
bta03410	Base excision repair	4.878E-02	2.357E-01	2	PCNA,APEX1
bta05206	MicroRNAs in cancer	7.470E-01	7.625E-01	2	ABCB1,NFKB1
bta04666	Fc gamma R-mediated phagocytosis	2.437E-01	3.516E-01	2	LYN,VASP
bta04024	cAMP signaling pathway	6.263E-01	6.600E-01	2	EDNRA,NFKB1
bta05012	Parkinson's disease	4.728E-01	5.582E-01	2	CYC1,NDUFA10
bta04932	Non-alcoholic fatty liver disease (NAFLD)	2.383E-01	3.516E-01	3	CYC1,NFKB1,NDUFA10
bta05203	Viral carcinogenesis	6.973E-01	7.193E-01	2	LYN,NFKB1
bta05016	Huntington's disease	6.208E-01	6.600E-01	2	CYC1,NDUFA10
bta04722	Neurotrophin signaling pathway	3.773E-01	4.740E-01	2	NTRK2,NFKB1
bta03013	RNA transport	5.071E-01	5.831E-01	2	NUP35,ACIN1
bta05034	Alcoholism	6.372E-01	6.643E-01	2	NTRK2,FOSB
bta04640	Hematopoietic cell lineage	7.296E-02	2.357E-01	3	CD1B,LOC781726,LOC509005
bta00900	Terpenoid backbone biosynthesis	2.110E-02	2.068E-01	2	HMGCS1,PDSS2
bta05134	Legionellosis	2.711E-03	1.329E-01	4	HSF1,TLR4,NFKB1,SAR1B
bta04390	Hippo signaling pathway	8.181E-02	2.357E-01	4	PPP2R1A,WTIP,PARD3,LOC616695
bta04066	HIF-1 signaling pathway	8.888E-02	2.409E-01	3	TLR4,IFNGR2,NFKB1
bta00071	Fatty acid degradation	7.473E-02	2.357E-01	2	ACSL3,CYP4A11
bta05162	Measles	6.199E-02	2.357E-01	4	TLR4,IFNGR2,IFNAR1,NFKB1
bta04730	Long-term depression	2.564E-02	2.285E-01	3	LYN,PPP2R1A,LOC616695
bta00330	Arginine and proline metabolism	9.728E-02	2.438E-01	2	GOT1,AMD1
bta05414	Dilated cardiomyopathy	2.358E-01	3.516E-01	2	TPM4,TNNT2
bta05169	Epstein-Barr virus infection	6.095E-01	6.564E-01	2	LYN,NFKB1
