Sample	Mean-depth	Median-depth
AGS10A	12.6805	12
AGS11A	12.1274	11
AGS12A	10.6551	10
AGS16A	11.4781	11
AGS17A	11.9381	11
AGS19A	11.0941	10
AGS1A	10.1551	9
AGS20A	11.4943	11
AGS23A	10.8378	10
AGS24A	11.1735	10
AGS25A	11.4761	11
AGS26A	10.3724	10
AGS27A	11.4444	10
AGS28A	10.8772	10
AGS2A	11.7844	11
AGS30A	10.6007	10
AGS3A	12.8733	12
AGS4A	11.1271	10
AGS7A	9.92613	9
AGS9A	12.7935	11
HN12A	11.0082	10
HN13A	10.3445	9
HN14A	10.9036	10
HN17A	11.5075	11
HN18A	11.1834	10
HN19A	11.7989	11
HN1A	10.0758	9
HN20A	10.7278	10
HN22A	10.1705	9
HN23A	11.0586	10
HN24A	11.9077	11
HN26A	11.6639	11
HN27A	11.5495	10
HN2A	11.7399	11
HN3A	11.1821	10
HN4A	11.1154	10
HN6A	11.2954	10
HN7A	10.5367	10
HN8A	10.4602	10
HN9A	10.6604	10
LQ686A	11.3582	11
LQ733A	11.805	11
LX2A	12.2621	11
LX4A	11.4574	11
NY440A	10.5168	10
NY878A	12.1725	11
OLD35	13.0559	12
QC10A	11.5279	11
QC11A	10.9244	10
QC12A	11.3079	11
QC14A	11.5569	11
QC15A	11.2484	11
QC21A	10.8695	10
QC22A	11.7777	11
QC23A	11.462	11
QC24A	11.4701	11
QC25A	12.0599	11
QC27A	11.2689	10
QC29A	11.1257	10
QC2A	11.7927	11
QC30A	10.5949	10
QC3A	11.1105	10
QC4A	11.404	10
QC5A	12.1818	11
QC6A	5.93975	4
QC8A	11.5576	11
QX100A	11.3224	10
QX101A	11.4486	11
QX102A	11.9728	11
QX53A	11.9098	11
QX65A	11.8912	11
QX66A	10.8128	10
QX69A	12.0937	11
QX70A	31.6436	30
QX71A	9.09538	8
QX75A	12.0512	11
QX78A	10.8688	10
QX79A	12.1748	11
QX80A	10.2882	9
QX85A	11.838	11
QX86A	9.91758	9
QX87A	12.309	11
QX90A	11.9358	11
QX93A	10.9072	10
SRR1262658	11.9317	11
SRR1262661	12.5057	13
SRR1262672	12.1474	12
SRR1262679	11.8165	12
SRR1262718	12.1931	11
SRR1262730	11.787	11
SRR1262736	10.7031	10
SRR1262737	11.7055	11
SRR1262738	11.7555	11
SRR1262756	12.3553	11
SRR1262769	10.5657	8
SRR1262770	9.94562	8
SRR1262776	10.3626	8
SRR1262777	10.4216	8
SRR1262780	14.1941	14
SRR1262785	14.0884	14
SRR1262786	15.0993	15
SRR1262787	13.9269	14
SRR1262789	8.80253	8
SRR1262790	8.36704	7
SRR1262791	9.37823	8
SRR1262792	6.74655	6
SRR1262793	13.545	12
SRR1262794	6.31859	5
SRR1262795	7.14479	6
SRR1262796	5.97086	5
SRR1262797	10.8192	9
SRR1262799	11.0082	11
SRR1262800	6.95747	6
SRR1262801	12.1874	12
SRR1262802	10.7885	10
SRR1262803	11.1237	11
SRR1262805	24.0257	22
SRR1262806	7.15628	7
SRR1262808	9.2582	8
SRR1262811	8.39332	7
SRR1262813	8.33386	8
SRR1262814	7.17254	6
SRR1262815	7.13758	7
SRR1262818	7.78994	7
SRR1262820	7.46235	7
SRR1262827	6.90819	6
SRR1262831	8.25695	7
SRR1262832	8.3449	7
SRR1262833	8.89356	8
SRR1262834	8.10219	7
SRR1262836	6.58414	6
SRR1262841	6.93462	6
SRR1262843	9.19895	8
SRR1262844	7.35646	7
SRR1262846	9.17527	8
SRR2016745	4.68747	4
SRR2016746	2.54931	3
SRR2016748	8.1324	7
SRR2016749	6.33198	6
SRR2016752	13.1575	12
SRR2016753	3.96033	3
SRR2016754	10.2468	9
SRR2016755	6.50646	6
SRR2016756	7.06175	6
SRR2016757	5.7437	5
SRR2016759	7.80906	7
SRR2016761	2.16427	2
SRR2016762	11.8135	11
SRR2016773	3.65003	4
SRR2016774	7.6043	7
SRR2016776	9.86902	9
SRR2016778	7.97614	7
SRR2016779	7.23107	7
SRR2016780	9.4158	9
SRR2016782	5.45264	5
SRR2016783	4.66996	4
SRR2016795	6.57056	6
SRR2016796	2.11783	2
SRR2016799	3.90994	4
SRR2016800	6.03288	6
YB2A	11.2715	10
YB4A	10.9531	10
YN233A	11.5987	11
YN234A	11.7038	11
