time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	4.01192e-07	24975.2
1	4.01192e-07	8.11609e-07	25929.3
2	8.11609e-07	1.23168e-06	11772.6
3	1.23168e-06	1.66188e-06	23146.8
4	1.66188e-06	2.1027e-06	34368.8
5	2.1027e-06	2.55468e-06	42364.1
6	2.55468e-06	3.0184e-06	44968.6
7	3.0184e-06	3.49449e-06	44049.1
8	3.49449e-06	3.98363e-06	41428.6
9	3.98363e-06	4.48654e-06	38288.3
10	4.48654e-06	5.00404e-06	35652.5
11	5.00404e-06	5.53698e-06	31207.3
12	5.53698e-06	6.08633e-06	25518.3
13	6.08633e-06	6.65312e-06	19626.9
14	6.65312e-06	7.23849e-06	14482.5
15	7.23849e-06	7.84371e-06	9542
16	7.84371e-06	8.47017e-06	9542
17	8.47017e-06	9.11942e-06	5500.07
18	9.11942e-06	9.79317e-06	5500.07
19	9.79317e-06	1.04934e-05	3467.14
20	1.04934e-05	1.12221e-05	3467.14
21	1.12221e-05	1.19819e-05	2500.31
22	1.19819e-05	1.27755e-05	2500.31
23	1.27755e-05	1.3606e-05	1983.46
24	1.3606e-05	1.4477e-05	1983.46
25	1.4477e-05	1.53927e-05	1731.55
26	1.53927e-05	1.63579e-05	1731.55
27	1.63579e-05	1.73783e-05	1576
28	1.73783e-05	1.84606e-05	1576
29	1.84606e-05	1.96128e-05	1505.28
30	1.96128e-05	2.08445e-05	1505.28
31	2.08445e-05	2.21675e-05	1524.91
32	2.21675e-05	2.35964e-05	1524.91
33	2.35964e-05	2.51498e-05	1605.07
34	2.51498e-05	2.68513e-05	1605.07
35	2.68513e-05	2.87322e-05	1713.02
36	2.87322e-05	3.08349e-05	1713.02
37	3.08349e-05	3.32187e-05	1813.71
38	3.32187e-05	3.59707e-05	1813.71
39	3.59707e-05	3.92255e-05	1866.38
40	3.92255e-05	4.32092e-05	1866.38
41	4.32092e-05	4.8345e-05	1781.7
42	4.8345e-05	5.55835e-05	1781.7
43	5.55835e-05	6.79577e-05	26.2167
44	6.79577e-05	inf	26.2167
