time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.31313e-07	0.00234264
1	3.31313e-07	6.70242e-07	114.466
2	6.70242e-07	1.01715e-06	3889.67
3	1.01715e-06	1.37241e-06	5924.64
4	1.37241e-06	1.73645e-06	3618.81
5	1.73645e-06	2.10971e-06	2303
6	2.10971e-06	2.49266e-06	2001.64
7	2.49266e-06	2.88582e-06	2263.8
8	2.88582e-06	3.28976e-06	3017.72
9	3.28976e-06	3.70508e-06	4344.59
10	3.70508e-06	4.13243e-06	6438.54
11	4.13243e-06	4.57255e-06	8764.09
12	4.57255e-06	5.02621e-06	10986.5
13	5.02621e-06	5.49427e-06	12854.8
14	5.49427e-06	5.97769e-06	14267.5
15	5.97769e-06	6.47749e-06	16411.8
16	6.47749e-06	6.99484e-06	16411.8
17	6.99484e-06	7.531e-06	17586.4
18	7.531e-06	8.08739e-06	17586.4
19	8.08739e-06	8.66562e-06	17111.9
20	8.66562e-06	9.26745e-06	17111.9
21	9.26745e-06	9.89489e-06	16033.4
22	9.89489e-06	1.05502e-05	16033.4
23	1.05502e-05	1.12361e-05	13952
24	1.12361e-05	1.19554e-05	13952
25	1.19554e-05	1.27116e-05	11655.2
26	1.27116e-05	1.35087e-05	11655.2
27	1.35087e-05	1.43514e-05	9440.36
28	1.43514e-05	1.52451e-05	9440.36
29	1.52451e-05	1.61966e-05	7548.8
30	1.61966e-05	1.72138e-05	7548.8
31	1.72138e-05	1.83063e-05	6042.92
32	1.83063e-05	1.94864e-05	6042.92
33	1.94864e-05	2.07692e-05	5008.49
34	2.07692e-05	2.21743e-05	5008.49
35	2.21743e-05	2.37276e-05	4366
36	2.37276e-05	2.54641e-05	4366
37	2.54641e-05	2.74327e-05	3904.93
38	2.74327e-05	2.97053e-05	3904.93
39	2.97053e-05	3.23932e-05	3516.37
40	3.23932e-05	3.5683e-05	3516.37
41	3.5683e-05	3.99242e-05	2892.64
42	3.99242e-05	4.59019e-05	2892.64
43	4.59019e-05	5.61208e-05	100.747
44	5.61208e-05	inf	100.747
